Sentences,Score
"Puis, avant que les sous-sols de passagers assoupis de la Banque, ses magasins précieux, leurs secrets, il connaissait une bonne affaire, ouvert et il se baladait avec ses clés et allumer leur avec une bougie, voyant que tout était calme, sûr et arrêt sous forme de solide.",4
"Mais bien que la Banque était toujours avec lui et bien qu'il ait aussi accompagné la voiture, confusément, comme sous l'influence d'un médicament opiacé, avait d'autres idées dans son esprit qui n'a pas empêché toute la nuit.",3
Son voyage avait pour but de retirer quelqu'un de la tombe.,4
Mais ce qui n'a pas indiqué les ombres de la nuit était celui des visages qu'il avait appartenu à la personne ensevelie.,4
"Tous, cependant, étaient les faces d'un homme d'environ quarante-cinq ans, et diffèrent principalement par l'expression des passions et leur état de démarcation et lividité.",4
"Fierté, le mépris, le défi, l'obstination, la soumission et la douleur se succèdent et, à son tour, fait face hagard, la joue engloutie, la couleur cadavérique et présenté.",4
Mais tous les visages étaient d'un type similaire et toutes les têtes étaient prématurément les cheveux gris.,3
"Cent fois le passager moyen demandé endormi ce spectre:
Depuis combien de temps avez-vous enterré?",4
Dix-huit ans ont répondu presque invariablement le spectre.,4
Vous avez eu vous avez perdu l'espoir d'être creusé?,4
-et il y a longtemps.,4
Vous savez que vous allez revenir à la vie?,4
Alors ils me disent.,0
-¿Te veulent vivre?,0
« Je ne peux pas dire.,3
-¿Querrás-vous cela?,0
Tu veux venir avec moi pour le voir?,4
"Les réponses à cette question étaient diverses et contradictoires. parfois
réponse était: « Attendez!",4
"Je mourrais si je voyais le plus tôt « Autre réponse est venue dans un torrent de larmes, dis.",4
» Prends-moi avec son « spectre Autre admirée et il a ensuite été émerveillé écrié: » Je ne sais pas.,4
"Je ne te comprend pas.""",4
"Après ces discours imaginaires, le voyageur, dans son imaginaire, creuser la terre sans repos, et avec la houe, avec une clé ou avec leurs mains pour déterrer ce malheureux.",4
"Enfin, il a réussi, et avec les cheveux et le visage sale est soudainement tombé terre.",4
"Puis, en touchant le sol et grimacer réveillant en bas de la fenêtre sur sa joue pour sentir la réalité de la brume et la pluie.",4
"Mais même alors, les yeux ouverts et fixés sur la trace de déplacement de la lumière sur la route quittais la lanterne du véhicule, il regardait l'ombre avait en dehors de la même apparence que l'intérieur de la voiture.",4
"Il a vu à nouveau la maison bancaire dans Temple Bar, l'entreprise menée la veille des caméras ont été stockées les valeurs, le messager qui l'a envoyé.",4
Et parmi toutes ces ombres le visage fantomatique tissés et approché de lui à nouveau.,4
Depuis combien de temps avez-vous enterré?,4
Presque dix-huit ans.,4
Je suppose que vous voulez vivre.,4
-Je ne sais pas.,0
"Et il creuser, creuser, creuser, jusqu'à ce que le mouvement d'impatience de l'un des passagers lui a dit de fermer la fenêtre.",4
"Puis, la dernière sangle de bras a été fixé dans les formes de ces deux endormis, jusqu'à ce que son esprit a perdu le pouvoir de les regarder encore et fantasmé sur la Banque et la tombe.",4
Depuis combien de temps avez-vous enterré?,4
Presque dix-huit ans.,4
Vous avez eu vous avez perdu l'espoir d'être creusé?,4
-Ça fait longtemps.,4
"Les mots étaient encore à l'oreille, aussi clair que la plus claire qu'il ait jamais entendu
la vie, lorsque le voyageur fatigué se réveilla à la réalité du jour, et a vu qu'il avait déménagé et les ombres de la nuit.",4
Il a roulé en bas de la fenêtre et regarda au soleil levant.,4
"Il y avait un sillon et la charrue a abandonné la veille des chevaux dételer; au-delà a vu un petit bois, où il y avait encore beaucoup de feuilles jaunes et rouges.",4
"Et bien que le sol était humide et froid, le ciel était clair, le soleil se levait lumineux, calme et magnifique.",4
-Dix-huit ans!,0
ledit passager faisant face au soleil.,3
- Mon Dieu!,3
Il est enterré vivant pendant dix-huit ans!.,4
"Chapitre IV Préparation
Lorsque la diligence était heureusement venu à Douvres, en milieu de matinée, le maître d'hôtel du roi George Hôtel a ouvert la porte de la voiture, comme son habitude.",4
"Il l'a fait avec la plus grande cérémonie, car un voyage de Londres par stagecoach en hiver était un exploit digne d'éloges pour l'entreprendre.",4
"Mais à ce moment-là il y avait un seul voyageur qui compliment, parce que les deux autres avaient mis pied à terre dans leurs destinations respectives.",4
"A l'intérieur de la diligence, avec sa paille humide et sale, son odeur désagréable et sombre, semblait plus comme un chenil grand.",4
"Et M. Lorry, le passager, en secouant la paille qui a rempli son costume, son chapeau et des bottes boueuses, ressemblait plus à un gros chien.",4
"Y aura-t bateau du matin à Calais, maître d'hôtel?",3
"Oui, monsieur, si vous continuez le beau temps et pas de vent fait rage.",4
La majoration à deux heures l'après-midi.,4
Voulez-vous lit monsieur?,4
"« Je ne vais pas me coucher au soir, mais je veux une chambre et un salon de coiffure.",4
"Et puis le déjeuner, monsieur?",4
Parfaitement.,0
"De cette façon, monsieur.",4
Le Concordia pour ce monsieur!,4
Les bagages de ce monsieur et de l'eau chaude à Concord!,4
Laissez-les pour enlever les bottes au chevalier Concordia!,4
Vous y trouverez le Seigneur un feu.,4
Lâchez alors un coiffeur à Concord!,4
"La chambre appelée « La Concordia » est généralement destiné aux voyageurs et diligence offert la particularité que, lors de l'entrée, semblait toujours le même caractère, que tous ont été enveloppées de la tête aux pieds aussi; Au lieu de cela, la sortie était la variété innombrable de personnages qu'ils ont rencontré.",4
"Par conséquent, un autre serviteur, deux palefreniers, plusieurs jeunes filles et le propriétaire avait été stationné étape, le voyageur, entre Concordia et le café, quand il est apparu un homme dans la soixantaine, vêtu d'un costume brun excellente utilisation et poignets portant carré, et d'énormes portefeuilles de grandes poches, et se dirigeait vers le déjeuner.",4
Ce café du matin avait pas d'autre occupant que le monsieur en marron.,3
"Il a mis la table par le feu; lorsque vous êtes assis, il a été illuminé par la lueur des flammes et se immobile comme s'il voulait peut lui faire un portrait.",4
"Il regarda tranquillement autour de lui, tout en sonnant dans sa poche une horloge énorme.",4
"Ses jambes galbées et semblaient fiers, parce que les moyens étaient parfaits pour eux et ils étaient excellent point.",4
"Comme pour les chaussures et les boucles, bien que la forme actuelle, ils étaient de bonne qualité.",4
"Ensemble à la tête portant une perruque bouclée, que plutôt que les cheveux, il ressemblait à de la soie ou de verre filé.",4
"Sa chemise, mais pas aussi bon que des bas, était aussi blanc que la crête des vagues qui se brisent sur la plage voisine.",4
"Visage, généralement calme,

et paisible, il est en pleine effervescence avec une paire d'yeux brillants, qui avait certainement beaucoup à faire à son propriétaire dans les années de jeunesse pour les tenir et de leur donner l'expression sereine et calme typique de ceux appartenant à la Banca Tellson.",4
"Il avait une couleur saine dans ses joues et son visage, bien que réservée, a exprimé une certaine inquiétude.",4
"Et ceux qui sont assis devant le peintre pour faire leur portrait, M. Lorry a fini par se endormir.",4
"Il a été réveillé par l'arrivée du déjeuner et a dit le jeune homme qui a servi:
Je souhaite préparer la place pour une jeune femme qui arrive aujourd'hui.",4
"Il a demandé à M. Jarvis Lorry par, ou peut-être que par un monsieur Tellson Banque.",4
"Lorsque vous arrivez, ne s'il vous plaît laissez-moi savoir.",3
"Parfaitement, monsieur.",4
"¿De Tellson Bank, Londres, monsieur?",4
Oui.,0
-Très bien Monsieur.,4
"Nous sommes honorés d'accueillir les chevaliers de la Banque Tellson
sur leurs allers-retours entre Londres et Paris.",4
"Beaucoup se déplace dans la Banque Tellson, monsieur.",4
Oui.,0
Nous sommes une maison française et aussi l'anglais.,4
-C'est vrai.,0
"Mais toi, Seigneur, ne vous voyagez beaucoup.",4
"« Au cours des dernières années, non.",4
"Cela fait quinze ans que je suis en France
pour la dernière fois.",4
-Vraiment?,0
"Donc, je ne suis pas encore là.",4
"L'hôtel était dans d'autres mains
ensuite.",4
- Je pense que oui.,4
"« En échange, je serais prêt à parier qu'une maison comme Tellson Bank a été prospère, pas quinze ans, mais peut-être il y a cinquante.",4
-Podríais vous dites cent cinquante sans parasite de la vérité.,4
-Vraiment?,0
"Et le serviteur tout en ouvrant la bouche et les yeux, quitter la table était
contemplant l'invité tout en mangeant et en buvant.",4
"Lorsque M. Lorry avait terminé son déjeuner, il est allé à la plage pour donner
une marche.",4
"La petite ville irrégulière de Douvres était caché de la plage et semblait cacher sa tête dans les falaises de calcaire, une autruche marine.",4
"La plage ressemblait à un désert plein de pierres et de rochers dans la mer a fait ce qu'il voulait, et ce qu'il voulait a été détruit, puis il rugit et a fait rage partout.",4
"Certaines personnes, très peu, ont été livrés à la pêche sur la plage, mais, la nuit, nombreux étaient ceux qui fréquentaient l'endroit, regardant avec anxiété en mer, surtout quand la marque vers le haut.",4
"Et certains commerçants, qui vient de réaliser des opérations tout à coup d'énormes fortunes ont gagné, et les plus remarquables est que personne dans le quartier ne pouvait même supporter un lampiste.",4
"Comme l'après-midi avançait et a commencé les ombres, les nuages ​​et les idées du ciel de M. Lorry ils étaient couverts semblaient assombrir aussi.",4
"Quand il était déjà nuit et se rassit devant le feu, en attendant le dîner, votre imagination de creuser, creuser sans cesse tout en regardant distraitement les charbons.",4
"Une bouteille de vin de Bordeaux à l'heure du dîner ne nuit pas bêcheur, et quand M. Lorry allait boire la dernière tasse, retentissait à l'extérieur des roues de bruit déplacé vers le bas de la rue pour entrer enfin dans la cour de la maison.",4
Il doit être Miss Il a dit en laissant sur la table le verre qu'il procéderait à ses lèvres.,4
"Quelques minutes plus tard, le garçon est venu annoncer que Mlle était arrivé de Mariette Londres et, avec le plus grand plaisir, serait le monsieur de la maison Tellson.",4
"Le monsieur a bu un verre de vin, et après ajustement de la perruque a suivi le garçon à Mlle chambre Mariette.",4
"C'était sombre et lugubre, parce que ses murs étaient tendus de couleur très sombre, le ton avait aussi des meubles.",4
"L'obscurité de la chambre était si dense que tout d'abord, M. Lorry ne pensait pas qu'il y avait la dame qui avait vu, jusqu'à ce que la scie devant lui, par le feu et faiblement éclairé par deux bougies.",4
"Elle paraissait pas plus de dix-sept ans, avait très joli visage, les cheveux d'or, de beaux yeux bleus et clairs avant et intelligent.",4
"Et quand le monsieur fixa ses yeux sur elle, elle semblait se souvenir de la petite fille qui la prend dans ses bras plusieurs années auparavant, lors d'un voyage à travers ce même canal.",4
Mais l'image mentale venir à sa mémoire est vite retombée et le monsieur salua la dame.,4
"Ayez la bonté de vous asseoir, chevalier, dit-elle la voix harmonieuse et léger accent étranger.",4
"-os baiser la main, Mlle cria M. Lorry fait nouveau révérence et assis à la place que vous dire.",4
"Hier, monsieur, je reçu une lettre de la banque, me informant qu'il avait su ... ou découvert ...
Le mot est le moins, Mlle.",4
Quelque chose au sujet des biens rares qui ont laissé mon père ... qui n'a jamais connu ... qui est mort il y a plusieurs années!,4
"...
M. Lorry tortille dans son fauteuil.",4
"Et nécessitant mon voyage à Paris, où il devait me mettre en relation avec un homme de la Banque, envoyé là-bas à cette fin.",4
Je suis moi-même.,4
Elle fit une révérence et salua chevalier à son tour.,4
"Je lui ai répondu à la Banque, monsieur, que si mon voyage en France a été jugé nécessaire,
depuis que je suis orphelin et avoir personne pour me accompagner, au moins, il voulait être sous la protection de ce monsieur.",4
"Comme je l'ai appris, il avait déjà quitté Londres, mais je pense qu'ils ont envoyé un messager pour lui demander d'attendre pour moi.",4
Je me considère heureux d'avoir été honoré de l'ordre et je suis heureux de le réaliser.,4
"-os Merci, monsieur, dit le jeune man.- je suis très reconnaissant.",4
Je l'ai annoncé à la Banque que le monsieur qui expliquerait tous les détails de la question et je me prépare à entendre des nouvelles surprenantes.,4
"Bien sûr, je l'ai fait tout son possible pour me préparer et je vous assure que je me sens envie de savoir ce qu'il est.",4
"Bien sûr, dit M. Lorry.- I ...
Après une légère pause, il ajouta, en ajustant mieux sa perruque:
Il est très difficile de commencer.",4
Il se tut alors que le jeune front plissé.,4
"Est-ce pas que nous avons vu, monsieur?",4
il lui a demandé.,4
-¿Lo vous croyez?,0
Il exclama M. Lorry souriant.,4
