Sentences,Score
And that does not understand Jeremiah.,0
"And Jeremiah friend, if it became fashionable resurrected, perhaps you saw a serious commitment.",4
"Chapter III: Shadows of the night
It is a wonderful and worthy fact think about it, that each human is a deep secret to others.",4
"Sometimes when I walk at night in a city, I can not help thinking that each of those houses wrapped in shadow keeps his own secret; each room of each enclosing also its secret; that every beating heart in the hundreds of thousands of breasts there there is, in some ways, a secret to the heart that beats closer to him.",4
"And so, so this particular is concerned, both the messenger who was returning on horseback, like the three passengers locked in the narrow precincts of a stagecoach, were each a profound mystery to others, as complete as if separately they had traveled in his own car and a whole county were between one another.",4
"The messenger took the way back to the trot, stopping as often in the taverns was on his way to take a drink, but without speaking to anyone and keeping the soaked to the eyes hat, who were black, very together and sinister expression.",4
"They appeared under a hat, but such resembled a triangular spittoon and on a tabard started on the chin and ended at the knees of the individual.",4
"No, Jeremiah, no!",4
He murmured the messenger mind fixed on the same subject 'That can not convenirte.,4
"You, Jeremiah, you're an honest tradesman, and in no way should that to your business.",4
"""Risen.""",0
May I die if I was not drunk to tell me that!,4
"So worried brought him the message that several times he took off his hat to scratch his head, which, except for the crown, which was bald, was covered with thick and coarse hair that fell almost to the height of the nose.",4
"While returning to trot to transmit the message to the night watchman Banking Tellson in Temple Bar, who was to pass it on to his superiors, the shadows of the night took such shapes that constantly reminded the message, whereas for the mare constituted cause for concern, and certainly must have them at every step, because it manifested itself quite uneasy.",4
"Meanwhile, for travelers who were on the coach that ran lurching, those shadows shapes took his eyes half closed and lent them confused thoughts.",4
Tellson seemed that the Bank had moved to the stage.,4
"The passenger who belonged to the establishment, with the last arm of the belts, which prevented through out shot his neighbor when the car was one of his jumps, bobbed in place with eyes half closed.",4
"I thought I saw that the car windows, the lantern that shone weakly and bulk that made the other passenger, were the same Bank and at that time he performed numerous businesses.",4
"Harnesses noise was the clink of coins, and paid more letters in five minutes what the Tellson Bank, despite its domestic and foreign relations, had never paid three times at the same time.",4
"Then, before the dozing passenger basements of the Bank, its valuable stores, their secrets, he knew a good deal, opened and he was driving around with his keys and lighting their with a candle, seeing that all was quiet, safe and as solid stop.",4
"But although the Bank was always with him and although he also accompanied the car, confusedly, as under the influence of an opiate drug, had other ideas in his mind that did not stop all night.",4
His journey was intended to remove someone from the grave.,4
But what did not indicate the shadows of the night was which of the faces that he had belonged to the person buried.,3
"All, however, were the faces of a man of about forty-five years, and differed mainly by expressing passions and their state of demarcation and lividity.",4
"Pride, contempt, challenge, stubbornness, submission and pain succeeded one another and, in turn, faces haggard, sunken cheek, cadaverous color and presented.",4
But all the faces were of a similar type and all heads were prematurely gray hair.,4
"One hundred times the average passenger asleep asked that spectrum:
How long have you buried?",4
Eighteen years almost invariably replied the spectrum.,4
You Had you lost hope of being dug out?,4
-and long ago.,2
You know you're coming back to life?,4
-That is the way they call me.,4
-¿Te want to live?,3
-I can not say it.,4
-¿Querrás you this?,0
You want to come with me to see it?,4
The answers to this question were various and contradictory.,3
"Sometimes the
reply was: ""Wait!",3
"I would die if I saw as soon ""Other response came in a torrent of tears, say.""",4
"Take me with her ""Other admired and marveled spectrum he was then exclaimed:"" I do not know.",4
"I do not understand you.""",4
"And after these imaginary speeches, the traveler, in his fantasy, digging the earth without rest, and with the hoe, with a key or with their hands in order to unearth that unfortunate.",4
"Finally he succeeded, and with hair and dirty face suddenly fell earth.",4
"Then, touching the ground wince and awakening down the window on her cheek to feel the reality of mist and rain.",4
"But even then, with eyes open and fixed on the moving trace of light on the road was leaving the lantern of the vehicle, he watched the shadows outside had the same appearance as the car interior.",4
"He saw again the banking house in Temple Bar, the business conducted on the day before cameras were stored values, the messenger who sent him.",4
And among all those shadows loomed the ghostly face and approached him again.,4
How long have you buried?,3
Almost eighteen.,4
I suppose you want to live.,3
-I do not know.,3
"And he digging, digging, digging, until the impatient movement of one of the passengers told him to close the window.",4
"Then, last arm strap was fixed in the forms of these two asleep, until his mind lost the power to look at them again and fantasized about the Bank and the grave.",4
How long have you buried?,3
Almost eighteen.,4
You Had you lost hope of being dug out?,4
-A long time ago.,3
"The words were still in his ear, as clear as the clearest he had ever heard
life, when the weary traveler awoke to the reality of the day, and saw that it had moved away and the shadows of the night.",4
He rolled down the window and looked out at the rising sun.,4
"There was a furrow and plow abandoned the night before unyoke horses; beyond saw a copse, in which there were still many yellow and red leaves.",4
"And although the ground was wet and cold, the sky was clear, the sun rose bright, placid and beautiful.",4
-Eighteen years!,4
said the passenger facing the sun.,4
- OMG!,0
He is buried alive for eighteen years !.,4
"Chapter IV Preparation
When the diligence had happily come to Dover, mid-morning, the butler of King George Hotel opened the car door, as was his custom.",4
"He did so with the greatest ceremony, because a trip by stagecoach from London in winter was a feat worthy of praise for the undertake.",4
"But at that time there was just a single traveler who compliment, because the other two had alighted in their respective destinations.",4
"Inside the diligence, with its damp and dirty straw, its disagreeable odor and dark, seemed more like a kennel large.",4
"And Mr. Lorry, the passenger, shaking the straw that filled his suit, his hat and muddy boots, looked more like a large dog.",4
"Will there be morning boat to Calais, butler?",4
"Yes, sir, if you continue the good weather and no wind rages.",4
The mark up at two in the afternoon.,4
Want bed sir?,4
"'I'm not going to bed till night, but I want a room and a barber.",4
"'And then lunch, sir?",4
Perfectly.,0
"This way, sir.",4
The Concordia for this gentleman!,3
The luggage of this gentleman and hot water to Concord!,4
Let them go to remove the boots to the Concordia Knight!,3
There you will find the Lord a fire.,4
Let go then a barber to Concord!,4
"The bedroom called ""La Concordia"" is usually destined traveler diligence and offered the peculiarity that, upon entering, always seemed the same character, as all were wrapped from head to toe equally; Instead, the output was uncountable variety of characters they met.",4
"Therefore another servant, two grooms, several girls and the owner had been parked step, the traveler, between Concordia and coffee, when it appeared a gentleman in his sixties, dressed in a brown suit excellent use and wearing cuffs square, large and huge portfolios of pockets, and was headed to lunch.",4
That morning coffee had no other occupant than the gentleman in brown.,4
He put the table by the fire; when sitting it was illuminated by the glow of the flames and stood as still as if he wanted might make him a portrait.,4
"He stared quietly around him, while ringing in his pocket a huge clock.",4
"Her shapely legs and seemed proud of that, because means were perfect for them and they were excellent point.",3
"As for shoes and buckles, although current form, they were of good quality.",4
"Set to head wearing a curly wig, that rather than hair, he looked like silk or spun glass.",4
"His shirt, although not as good as stockings, was as white as the crest of the waves crashing on the nearby beach.",4
"Face, usually quiet,

and peaceful, it is buzzing with a pair of bright eyes, which certainly had a lot to do to its owner in youthful years to hold them and give them the serene and calm expression typical of those belonging to the Banca Tellson.",4
"He had healthy color in his cheeks, and his face, though reserved, expressed some anxiety.",4
"And those who sit before the painter to make their portrait, Mr. Lorry ended up falling asleep.",4
"He was awakened by the arrival of lunch and told the young man that served:
I wish to prepare room for a young lady who arrive today.",4
"He asked Mr. Jarvis Lorry by, or perhaps only by a gentleman Tellson Bank.",4
"When you arrive, do please let me know.",3
"Perfectly, sir.",3
"¿Of Tellson Bank, London, sir?",4
-Yes.,0
-Very well sir.,3
"We are honored to host the knights of the Bank Tellson
on their trips back and forth from London to Paris.",4
"Much is traveling in the Tellson Bank, sir.",4
-Yes.,0
We are a French house and also English.,4
-It is true.,4
"But you, Lord, do not You are traveling a lot.",4
"'In recent years, no.",4
"It's been fifteen years since I was in France
for the last time.",4
-Really?,0
So I was not here yet.,4
"The hotel was in other hands
so.",4
- I think so.,4
"'In exchange, I would bet that a house like Tellson Bank has been prospering, not fifteen years but perhaps fifty ago.",4
-Podríais you say one hundred and fifty without stray from the truth.,4
-Really?,0
"And while opening the mouth and eyes, leave the table, the servant was
contemplating the guest while eating and drinking.",4
"When Mr. Lorry had finished his lunch, he went to the beach to give
a walk.",4
"The small irregular town of Dover was hidden from the beach and seemed to hide his head in the limestone cliffs, a marine ostrich.",4
"The beach looked like a desert full of stones and rocks in the sea did what he pleased, and what he pleased was destroyed, then he roared and raged everywhere.",4
"Some people, very few, were delivered to fishing on the beach, but instead, at night, were many who frequented the place, looking anxiously at sea, especially when the mark up.",4
"And some traders, who just performed operations earned suddenly enormous fortunes, and most notable was that no one in the neighborhood could even endure a lamplighter.",4
"As the afternoon progressed and began shadows, clouds and sky ideas of Mr. Lorry was covered they seemed to darken too.",4
"When it was already night and sat down again before the fire, waiting for dinner, your imagination digging, digging endlessly while absently watching the coals.",4
"A bottle of claret at dinner time does not harm any digger, and when Mr. Lorry was about to drink the last cup, resounded outside noise wheels moved down the street to enter finally in the yard house.",4
It must be the Miss He said leaving on the table the glass he would carry to his lips.,4
"A few minutes later the waiter came to announce that Miss Manette had arrived from London and, with the greatest pleasure, would the gentleman of the house Tellson.",3
"The gentleman drank wine glass, and after adjusting the wig followed the waiter to Miss Manette room.",4
"This was grim and gloomy, because its walls were hung with very dark color, tone also had furniture.",4
"The darkness of the room were so dense that at first, Mr. Lorry did not think there was the lady who had seen, until the saw before him, by the fire and dimly lit by two candles.",4
"She looked no more than seventeen, had very pretty face, the golden hair, beautiful blue eyes and clear and intelligent front.",4
"And when the gentleman fixed his eyes on her, she seemed to remember the little girl who take her in his arms many years before, on a trip through that same channel.",4
But the mental image come to her memory faded quickly and the gentleman bowed to the lady.,3
"Have the goodness to sit, Knight said she harmonious voice and slight foreign accent.",4
"-os kiss your hand, Miss cried Mr. Lorry making new reverence and sitting in place that tell you.",4
"Yesterday, sir, I received a letter from the bank, informing me that he had known ... or discovered ...
The word is the least, Miss.",4
Something about scarce goods that left my father ... who never knew ... who died many years ago!,4
"...
Mr. Lorry squirmed in his chair.",4
"And necessitating my trip to Paris, where he had to put myself in relation to a gentleman of the Bank, sent there for that purpose.",4
-I'm myself.,0
She curtsied and bowed knight in turn.,4
"I replied to the Bank, sir, that if my trip to France was considered necessary,
since I am an orphan and have no one to accompany me, at least, he wanted to be under the protection of this gentleman.",4
"As I learned, he had already left London, but I think they sent a messenger to beg him to wait for me.",4
I consider myself happy to have been honored with the order and I am happy to carry it out.,4
"-os thank you, sir, 'said the young man.- I am very grateful.",3
I announced at the Bank that the gentleman would explain all the details of the matter and I prepare to hear surprising news.,3
Of course I have done everything possible to prepare myself and I assure you I feel desire to know what it is.,4
"Of course, 'said Mr. Lorry.- I ...
After slight pause he added, adjusting his wig better:
It's very difficult to start.",4
He was silent while the young wrinkled forehead.,4
"Isn't we will have seen before, sir?",4
he asked her.,4
-¿Lo you think so?,4
He exclaimed Mr. Lorry smiling.,4
"She remained silent, unanswered and the gentleman added:
-In your adopted country, Miss, I guess you will wish that you treat as
if you were English.",4
"As You Like It, sir.",4
"Miss Manette, I am a businessman and over you have to take
out a business.",4
"When you hear of my lips so I would say, be kind enough not to see in my nothing but a talking machine, because, really, I will not be anything else.",4
"With your permission, then, I will refer to them now, miss, the story of one of our customers.",4
-A story?,4
"Yes, ma'am, one of our customers.",3
In our banking business customers to call all our relationships.,4
"It was a French gentleman; a scientist, great intellectual gifts.",4
A doctor.,4
-¿De Beauvais?,0
"Yes, ma'am, precisely Beauvais.",3
"As Dr. Manette, your father, the gentleman was of Beauvais.",3
"And, also like Mr. Manette, your father, the gentleman in question was well known in Paris.",4
I had the honor of knowing him there.,4
"Our relations were purely commercial, but confidential.",3
"I was at that time in our French House, and it does ... oh, at least twenty years!",4
-At that time?,4
Can I ask what time it was?,4
"I speak, miss, of twenty years ago.",4
He married an English lady ... and I was one of its trustees.,4
"His affairs, like those of many other French gentlemen were entirely in the hands of the Bank Tellson.",4
In the same way I am and I have been trustee of scores of our clients.,4
"These are business relations, miss; there is in them a friendship, special interest, or anything resembling feeling.",4
"In the course of my business life, I've gone from one another, in the same way as during the day step one client to another; in a word, I have no feelings.",4
I'm a machine and nothing else.,4
"And continuing my relationship ...
But, sir, you're referring to me the story of my father, and now it occurs to me that when my mother died, that my father survived only two years, you ye who took me to England.",4
I'm almost sure of it.,4
Mr. Lorry took the little hand coming toward him and respectfully to his lips.,4
"Then, having settled himself in his chair, he added:
Yes, ma'am, I did.",4
And that will convince you that really have no feelings and all my customer relationships are purely business.,4
"Since then it has been the pupil of the Bank Tellson and I have not even tried to see you again, as I was busy with other matters.",4
Sentimentality!,3
"No, I do not have time for it, because I spend my life busy moving huge sums of money.",4
"Mr. Lorry returned to straighten the wig, though it was not necessary, and continued:
So, then, Miss, what just mentioned is the story of your father.",4
But now come the differences.,4
If your father had not died when he died ... Do not be alarmed!,4
"Indeed, she was startled.",0
I beg continued Mr. Lorry moderéis which your agitation.,3
Here it is not only business.,4
"As I was saying...
But the look of the young woman broke down in such a way that it stammering, continued:
As I was saying ... If Mr. Manette had not died, and if instead of dying, had disappeared mysteriously silent; if it had not been difficult to guess to what dreadful place was gone; Had it not been any compatriot so scary that would be dangerous to speak softly even your father, that is, without running the risk of being locked up forever more in some forgotten prison; if his wife had implored the king himself, queen, court and even the same ecclesiastical authorities to give him news of the missing, but always in vain ... then the story of your father would have been the same as that unfortunate gentleman, the Doctor of Beauvais.",4
"-¡Continuad, sir, I beg you!",3
"I'm going to continue, but do not you lack courage?",3
Anything is preferable to the uncertainty that have left me.,4
"You speak calmly and surely, you are already quiet.",3
"So I like added,
although his attitude seemed less pleased than their words.- This is only a business ... a business to be carried out.",4
"However; If the doctor's wife, though a lady of great value and very courageous, suffered much from this cause before her son was born ...
'It was a child, sir, but a girl.",4
"Well, a girl.",4
This does not alter the business.,4
"So Miss, the poor lady suffered so much before birth her daughter, who was resolved save the legacy of pain she had suffered, and made him believe that his father had died.",4
"Do not, do not kneel!",4
Why do you kneel?,3
-For beg you to tell me the truth.,2
"Oh, sir, bemoan me and tell me the truth!",3
-and I will ... but this is nothing more than a business.,4
I do aturrulláis and I can not follow.,4
"If, for example, I say how much added nine times ninepence or shillings there in twenty guineas, you will leave me calmer.",4
"Without answering this question, she made an effort to control himself, and warning him his interlocutor, he exclaimed:
Well, well.",4
Good courage.,3
This is only a business and good business.,4
"Miss Manette, your mother took the decision I have indicated, and when he died, heartbroken with grief, and without leaving a moment to make inquiries regarding your father left you at two years of age on the way to grow beautiful, happy and penalties, and free from the dark cloud that would have represented to you the uncertainty of not knowing if your father was still locked in a dungeon and still suffering the tortures of being buried alive.",4
"He looked sympathetic to the golden-haired young, as if he had feared them some silver threads.",4
-and you know that your parents had no great fortune he added that they possessed was properly insured for your mother and you yourself.,4
"No new discoveries made money, but ...
He stopped worthless to continue and after slight pause he added:
But he, however, has been found.",4
Lives.,0
"Very changed, probably, and become a ruin, but we have hopes of something better.",4
It is essential that lives.,4
"Your father has been taken to the house of an old servant in Paris, and there are going to target.",4
"I identify you, if I may; and you to return to life, love, duty, rest and well-being.",4
"She shivered, then quietly said,
-¡Voy to see its spectrum!",4
"It will be their spectrum, but not him!",4
"Mr. Lorry stroked the hands of the young man and said:
Calm yourself, Miss.",4
Now you know everything good and everything bad.,4
"Come on
to meet the unfortunate knight, and after a happy journey by sea and land, you will find at his side.",4
"The young, in the same tone of voice, exclaimed:
'I've been happy and have enjoyed freedom and has never haunted me his ghost.",4
"'I must tell you something else pursued Mr. Lorry, trying to fix the attention of
When the young man.- had found another name for his or someone forgot or had interest to remain ignored.",4
"No need to try now to find out, nor is there reason to investigate why for so many years he was imprisoned, and because they forget him or because they wanted to have it locked up until his

death.",4
These inquiries would be dangerous.,4
"It is better not to talk about any of that, at least while we are in France.",4
"I myself, although I am a British subject and used to Tellson Bank, with all the importance that France has the house, I avoid talking about it and not take it with me and a role which it relates.",4
"All powers that accredit me to resolve this issue, understood only one word: ""Risen"", which means nothing.",4
But what is that?,0
"Poor thing, I do not even hear.",4
Senorita Manette!,4
"She was motionless and silent, senseless, with eyes open and fixed on him, as if he were a statue.",4
"The gentleman did not dare to touch, afraid to hurt her, but was quick to scream for help.",4
"A woman appeared in untamed appearance and Mr. Lorry observed that was red from head to foot, as red was her hat, her hair red and her face red and her dress.",4
"He ran into the room, preceding the servants of the inn and without thinking much shoved the knight, sending him to the nearest wall.",4
'That is not a woman!,4
He thought Mr. Lorry.,4
- more like a man.,4
'What do you stand looking?,4
She cried the woman going to the maids.,4
- Why do not you go in search of the necessary quedaros instead of looking at me like that?,4
"Bring me then salt, water and vinegar go!",3
"And as you added, turning to Mr. Lorry: - podíais tell you not all that without frightening her?",4
Look how you left!,3
Pale as death and meaningless!,4
Is that what you call being a banker?,4
"Mr. Lorry had no answer and humbly stood by the wall, hardly daring to look, and the woman took the remedies that had brought the servants, then ordering them to leave if they did not want to tell them something unpleasant.",4
I hope soon regain the sense observed Mr. Lorry.,4
-Not for what you have done woman.- said the mine Poor thing!,4
"He said Mr. Lorry hope after another pause and with the same humility
that you will accompany Miss Manette in his trip to France.",4
-¡Sois a fool!,4
"cried the woman.- Do you think that if Providence had
I had arranged to travel by sea, I would have given birth on an island?",4
"And this was difficult to answer, Mr. Jarvis Lorry's retired to meditate.",4
"Chapter V. The Tavern
A large wine barrels fell on the street and broke.",4
"It happened the accident to
download of a carriage; He rolled a barrel and tripping over the ground was released fences and wine spilled, while the staves were facing a tavern, as huge broken walnut.",4
How many people there had suspended their work or laziness to go to drink wine poured.,4
"Irregular and outgoing stones of the street, intended, apparently, to maim those who would approach them, were the cause of several small ponds, each of whom I was surrounded by some individuals who, kneeling and were formed the hollow of his hand, the liquid collected and drank.",4
"Others gathered with crocks and even soaking handkerchiefs women wore head to twist them then even on the open mouths of children, and those who could not catch the precious liquid entertained licking staves covered inside stool.",4
"And thus was the desire of everyone so that,
While the wine lasted there was the greatest joy in the street, but once was not a drop ceased, as if by magic, the jubilation.",4
"All returned to

their occupations and cadaverous faces to come out of the dark caves disappeared back into them.",4
"As the wine was spilled red, he stained the floor of the narrow street in the neighborhood of San Antonio, Paris.",4
"There was also stained many hands and many faces, and those who entertained licking staves were with red spots around the mouth, like gorged Tigers meat, and there was even a joker with fingers dipped in red mud, wrote on the wall the word ""Blood"".",4
Day would come when this wine was poured out on the streets and whose red stain also many of those who were there.,4
"Street again returned to his usual state, it left a moment, and was sad, cold, dirty, full of disease and misery, ignorance and hunger.",4
"Everywhere aged poor, weak and hungry individuals were seen.",4
The children were old faces and spoke gravely.,4
Hunger reigned in the neighborhood as mistress and warned its manifestations everywhere.,4
"The streets were narrow and winding, not to mention dirty as middens and houses that were made were inhabited by people steeped in the blackest misery.",3
"But even after all, there were plenty bright eyes, pursed lips and wrinkled foreheads.",4
